ID_Compte;Nom_Compte;Media;Type;ID_Action;Action;Dossier;Categorie;Profil_Envoi;Date_Envoi;Objet;Libelle_Expediteur;Expediteur;Taux_Reactivite;Cibles;Envoyes;Aboutis;Taux_Delivrabilite;Hard;Soft;SPam;Ouvreurs;Taux_Ouverture;Ouvreurs_TXT;Clics;Cliqueurs;Cliqueurs_effectifs;Taux_Clic_Unique;Desabo;Plaintes;Taux_Desabonnement
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-002624;BP_230718_ODV_AB_TEST_01;ODV;non_categorisee;Certif +;2023-07-18 11:03:00;{{=global.datas("Textetransparent",1).get("TITRE")}};{{= target.properties.get("sender") }};newsletter@news.easyvoyage.com;6,3;45014;44996;39194;87,1;2;107;5693;2343;6,0;14;243;166;148;0,4;18;6;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-002625;ActuDuVoyage_2023-07-18_A;Mes Dossiers;non_categorisee;Reactivation;2023-07-18 06:00:00;"Juste un peu de citron et c’est tout !" : 3 cabanes ostréicoles incontournables où déguster les huîtres du bassin d'Arcachon • Des vols pour Miami à moins de 250€ avec la nouvelle liaison de Norse Atlantic Airways • Bretagne : l'île de Bréhat soumise à un quota, mais pourquoi attire-t-elle autant les touristes ?;Easyvoyage -  Le Mag';newsletter@info.easyvoyage.com;16,8;158458;156611;155871;99,5;179;505;56;1016;0,7;0;281;194;171;0,1;23;42;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262B;BP_230718_ODV_AB_TEST_02;ODV;non_categorisee;Certif +;2023-07-18 11:06:00;Pause estivale dès 25E : Malte, les îles Canaries, Sardaigne, Grèce;{{= target.properties.get("sender") }};newsletter@news.easyvoyage.com;6,3;45014;44992;39344;87,4;7;99;5542;2524;6,4;0;229;166;158;0,4;8;6;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262G;DEM_230720_LOGITRAVEL_AB_TEST_01;DEM_JEUDI_1;non_categorisee;Certif +;2023-07-20 08:00:00;??Vente flash : une semaine de rêve en Grèce dès 467E;{{= target.properties.get("sender") }};newsletter@news.easyvoyage.com;11,7;40014;40001;38389;96;1;1447;164;1818;4,7;8;330;224;212;0,6;12;5;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262O;DEM_230719_LIDL_OverrideCertif+;DEM_MERCREDI_2;non_categorisee;Override Certif+;2023-07-19 14:30:00;? 1 semaine de vacances à moins de 500E: Tunisie, Maroc, Portugal, Espagne....;{{= target.properties.get("sender") }};newsletter@news.easyvoyage.com;15,8;139380;139365;136838;98,2;2;1284;1241;18665;13,6;50;4670;2984;2954;2,2;30;12;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262P;BP_230718_ODV_PRINCIPALE;ODV;non_categorisee;Principal (O/R);2023-07-18 19:02:00;{{=global.datas("Textetransparent",1).get("TITRE")}};{{= target.properties.get("sender") }};newsletter@news.easyvoyage.com;5,6;644245;556467;555461;99,8;46;631;329;54605;9,8;167;4585;3260;3061;0,6;199;111;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262Q;BP_230718_ODV_SECONDAIRE;ODV;non_categorisee;Secondaire (O/R);2023-07-18 19:04:00;{{=global.datas("Textetransparent",1).get("TITRE")}};{{= target.properties.get("sender") }};newsletter@news.easyvoyage.com;10;329168;287768;286777;99,7;19;733;239;3207;1,1;0;485;373;320;0,1;53;17;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262S;ActuDuVoyage_2023-07-20_Test;Mes Dossiers;non_categorisee;Reactivation;2023-07-20 06:00:00;SNCF : la carte Avantage plus si avantageuse… les prix des billets vont augmenter !    •  Attention, ces habitudes à la plage pourraient vous coûter cher au Portugal (jusqu'à 36 000€ d'amende)    •  Le lac de Barbie ! L'eau rose de la lagune de Torrevieja en Espagne;Easyvoyage -  Le Mag';newsletter@info.easyvoyage.com;0;14;6;6;100;0;0;0;0;0,0;0;0;0;0;0,0;0;0;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262T;DEM_230719_TUI_AB_TEST_01;DEM_MERCREDI_1;non_categorisee;Certif +;2023-07-19 11:00:00;? 1 SEMAINE : faites le plein de vacances dès 511€ : Maroc, Tunisie, Grèce, Espagne...;tui@news.easyvoyage.com;newsletter@news.easyvoyage.com;11,2;40000;40000;38593;96,5;3;187;1217;4550;11,8;17;764;523;510;1,4;13;13;0,0
02N;REACTIVITE - FR;EMAIL;Campaign;AJBSQ02N-00262U;DEM_230719_TUI_AB_TEST_02;DEM_MERCREDI_1;non_categorisee;Certif +;2023-07-19 11:00:00;??Clubs en tout inclus : Tunisie dès 511E | l'Espagne dès 569E | le Maroc dès 559E;tui@news.easyvoyage.com;newsletter@news.easyvoyage.com;13,7;40000;40000;38592;96,5;2;193;1213;4248;11,0;0;902;600;583;1,6;17;20;0,0
