"CAMPAIGN_ID"|"CAMPAIGN_NAME"|"CAMPAIGN_SUBJECT"|"CAMPAIGN_TYPE"|"CAMPAIGN_DATE"|"CAMPAIGN_NOTES"
"AJBSQ02N-000UDR"|"Alertes_Vols"|"{{? !context.isPreview() && !context.isTest() }}{{? !hasPrixRef(alertes[0]) }}Attention le prix de votre vol évolue{{?? hasMultipleAlerts(alertes) }}Attention, les prix de vos vols évoluent ! {{?? isUp(alertes[0]) }}{{=alertes[0].villeRetour}} : hausse de {{=alertes[0].pourcent}}% sur le prix de votre vol{{??}}{{=alertes[0].villeRetour}} : baisse de {{=alertes[0].pourcent}}% sur le prix de votre vol{{?}}{{?}}"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0015FH"|"Confirmation-inscription"|"Confirmation de votre inscription"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0016S2"|"Bienvenue_Toaster"|"{{? target.getField('prenom') && target.getField('nom') }}Le passager {{= target.getField('prenom') }} {{= target.getField('nom') }} est attendu en salle d'embarquement !{{??}}Vous êtes attendu en salle d'embarquement !{{?}}"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0017MI"|"Confirmation-inscription_resubscribed"|"Votre ré-inscription est confirmée ?"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0017MJ"|"Confirmation-inscription_reactivated"|"Votre ré-inscription est confirmée ?"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0017UL"|"DESABO-Inactifs_v4"|"Suppression de votre compte"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0018K8"|"SONDAGE_VOLSPASCHERS_filiere_bienvenue_v4"|"On a besoin de vous..."|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-0018VL"|"Inactif-Zen_v4_toaster"|"Arrêtez de vous prendre la tête"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001F3M"|"Routine_Sollicitation_OUVREURS_1_MOIS"|"? Bientôt vous ne recevrez plus nos newsletters"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001F3O"|"Routine_Sollicitation_Ouvreurs2-4mois"|"? Bientôt vous ne recevrez plus nos newsletters"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001F3Q"|"Routine_Sollicitation_Ouvreurs+4mois"|"? Bientôt vous ne recevrez plus nos newsletters"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001F3R"|"Routine_Sollicitation_RELANCE_Ouvreurs+4MOIS"|"? DERNIER AVERTISSEMENT | Suppression de vos données"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001F3S"|"Routine_Sollicitation_RELANCE_Ouvreurs1-4mois"|"? DERNIER AVERTISSEMENT | Suppression de vos données"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001GG6"|"TEST_PERSONNALITÉ_QUEL_VOYAGEUR"|"Vous nous boudez ? On vous propose un petit jeu pour se réconcilier !  ??"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001IDG"|"New_TOP ACTU_V4_Entrée_App5_Welcome"|"Les 5 spots de baignades confidentiels en Corse | Les quartiers les plus typiques de Marrakech | Les 3 calanques préservées du tourisme de marsse | Bretagne: activités insolites"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001IDH"|"New_TOP ACTU_V4_Passage App1 to 4_Certif"|"Les endroits secrets les plus jolis de Lisbonne | 5 villes italiennes à découvrir | Top des plages de Marseille"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001XNN"|"REACTIVATION_TOPSERVICES_app5_J+30"|"Comment me faire rembourser mon vol annulé ? Que faire en cas de retard ?"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001XNT"|"REACTIVATION_TOPSERVICES_lastclic=15j._OK"|"Ce que les compagnies aériennes ne veulent pas que vous sachiez pour trouver un vol pas cher"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-001XNU"|"REACTIVATION_TOPSERVICES_app6_J+30"|"Top 3 des meilleures destinations | Séjours all inclusive en promo | Conseils pour dénicher votre vol pas cher"|""|"1900-01-01 00:00:00"|""
"AJBSQ02N-002624"|"BP_230718_ODV_AB_TEST_01"|"{{=global.datas("Textetransparent",1).get("TITRE")}}"|""|"2023-07-18 11:03:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-002625"|"ActuDuVoyage_2023-07-18_A"|""Juste un peu de citron et c’est tout !" : 3 cabanes ostréicoles incontournables où déguster les huîtres du bassin d'Arcachon • Des vols pour Miami à moins de 250€ avec la nouvelle liaison de Norse Atlantic Airways • Bretagne : l'île de Bréhat soumise à un quota, mais pourquoi attire-t-elle autant les touristes ?"|""|"2023-07-18 06:00:00"|"actu"
"AJBSQ02N-00262B"|"BP_230718_ODV_AB_TEST_02"|"Pause estivale dès 25E : Malte, les îles Canaries, Sardaigne, Grèce"|""|"2023-07-18 11:06:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-00262G"|"DEM_230720_LOGITRAVEL_AB_TEST_01"|"??Vente flash : une semaine de rêve en Grèce dès 467E"|""|"2023-07-20 08:00:00"|"dem§logit§ma§afrdunord§sejours"
"AJBSQ02N-00262O"|"DEM_230719_LIDL_OverrideCertif+"|"? 1 semaine de vacances à moins de 500E: Tunisie, Maroc, Portugal, Espagne...."|""|"2023-07-19 14:30:00"|"dem§lidl§gr§it§mlt§es§tn§ma§pt§eurosudmed§afrdunord§sejours"
"AJBSQ02N-00262P"|"BP_230718_ODV_PRINCIPALE"|"{{=global.datas("Textetransparent",1).get("TITRE")}}"|""|"2023-07-18 19:02:00"|"dem§moyo§circuits§sejours§vols§hotel"
"AJBSQ02N-00262Q"|"BP_230718_ODV_SECONDAIRE"|"{{=global.datas("Textetransparent",1).get("TITRE")}}"|""|"2023-07-18 19:04:00"|"dem§moyo§circuits§sejours§vols§hotel"
